Date,Open,High,Low,Close,Adj Close,Volume
2018-12-03,800.000000,820.000000,800.000000,815.000000,815.000000,2882500
2018-12-04,815.000000,840.000000,805.000000,805.000000,805.000000,681300
2018-12-05,805.000000,825.000000,800.000000,805.000000,805.000000,2969500
2018-12-06,805.000000,825.000000,800.000000,810.000000,810.000000,590600
2018-12-07,810.000000,820.000000,805.000000,810.000000,810.000000,3288200
2018-12-10,810.000000,820.000000,800.000000,805.000000,805.000000,792700
2018-12-11,805.000000,815.000000,805.000000,810.000000,810.000000,4081100
2018-12-12,810.000000,820.000000,800.000000,810.000000,810.000000,666200
2018-12-13,810.000000,860.000000,810.000000,850.000000,850.000000,4986200
2018-12-14,850.000000,870.000000,845.000000,850.000000,850.000000,634200
2018-12-17,850.000000,860.000000,845.000000,850.000000,850.000000,7696800
2018-12-18,850.000000,865.000000,840.000000,845.000000,845.000000,1185100
2018-12-19,845.000000,855.000000,830.000000,835.000000,835.000000,2918900
2018-12-20,835.000000,855.000000,835.000000,840.000000,840.000000,2591800
2018-12-21,830.000000,845.000000,820.000000,840.000000,840.000000,590800
2018-12-24,840.000000,840.000000,840.000000,840.000000,840.000000,0
2018-12-25,840.000000,840.000000,840.000000,840.000000,840.000000,0
2018-12-26,840.000000,840.000000,830.000000,840.000000,840.000000,384100
2018-12-27,840.000000,850.000000,840.000000,850.000000,850.000000,347900
2018-12-28,850.000000,905.000000,850.000000,880.000000,880.000000,1191700
2018-12-31,880.000000,880.000000,880.000000,880.000000,880.000000,0
