Date,Open,High,Low,Close,Adj Close,Volume
2018-04-11,7950.000000,8075.000000,7925.000000,8050.000000,8050.000000,29289200
2018-04-12,8000.000000,8025.000000,7850.000000,8025.000000,8025.000000,28026800
2018-04-13,8100.000000,8100.000000,7925.000000,8025.000000,8025.000000,16948100
2018-04-16,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,0
2018-04-17,8025.000000,8025.000000,8025.000000,8025.000000,8025.000000,0
2018-04-18,7950.000000,8050.000000,7900.000000,8050.000000,8050.000000,14297600
2018-04-19,8050.000000,8050.000000,8050.000000,8050.000000,8050.000000,0
2018-04-20,8050.000000,8050.000000,8050.000000,8050.000000,8050.000000,0
2018-04-23,7875.000000,8000.000000,7850.000000,8000.000000,8000.000000,31396500
2018-04-24,8000.000000,8000.000000,7725.000000,7725.000000,7725.000000,24596700
2018-04-25,7725.000000,7725.000000,7725.000000,7725.000000,7725.000000,0
2018-04-26,7725.000000,7725.000000,7725.000000,7725.000000,7725.000000,0
2018-04-27,7725.000000,7725.000000,7725.000000,7725.000000,7725.000000,0
2018-04-30,7000.000000,7150.000000,6875.000000,7125.000000,7125.000000,47333200
2018-05-01,7125.000000,7125.000000,7125.000000,7125.000000,7125.000000,0
2018-05-02,7125.000000,7225.000000,6975.000000,7200.000000,7200.000000,26795000
2018-05-03,7150.000000,7175.000000,6850.000000,6850.000000,6850.000000,52190200
2018-05-04,6850.000000,6900.000000,6600.000000,6625.000000,6625.000000,27497800
2018-05-07,6600.000000,6875.000000,6600.000000,6800.000000,6800.000000,33410400
2018-05-08,6800.000000,6825.000000,6675.000000,6800.000000,6800.000000,53228700
2018-05-09,6725.000000,7175.000000,6725.000000,7175.000000,7175.000000,55988800
2018-05-10,7175.000000,7175.000000,7175.000000,7175.000000,7175.000000,0
2018-05-11,7250.000000,7475.000000,7150.000000,7200.000000,7200.000000,51782000
2018-05-14,7300.000000,7300.000000,6950.000000,7200.000000,7200.000000,36628300
2018-05-15,7000.000000,7200.000000,6800.000000,6850.000000,6850.000000,58971000
2018-05-16,6700.000000,6875.000000,6600.000000,6850.000000,6850.000000,85871500
2018-05-17,6950.000000,7000.000000,6700.000000,6700.000000,6700.000000,54017900
2018-05-18,6775.000000,6900.000000,6650.000000,6800.000000,6800.000000,36589800
2018-05-21,6725.000000,6775.000000,6600.000000,6675.000000,6675.000000,46517600
2018-05-22,6750.000000,6775.000000,6525.000000,6525.000000,6525.000000,47622300
2018-05-23,6600.000000,6875.000000,6600.000000,6775.000000,6775.000000,49238900
2018-05-24,7000.000000,7075.000000,6850.000000,7000.000000,7000.000000,52756100
2018-05-25,7050.000000,7075.000000,6950.000000,7000.000000,7000.000000,43641500
2018-05-28,7150.000000,7425.000000,7100.000000,7375.000000,7375.000000,64626700
2018-05-29,7375.000000,7375.000000,7375.000000,7375.000000,7375.000000,0
2018-05-30,7225.000000,7625.000000,7150.000000,7250.000000,7250.000000,85314400
2018-05-31,7400.000000,7400.000000,7025.000000,7050.000000,7050.000000,105510400
2018-06-01,7050.000000,7050.000000,7050.000000,7050.000000,7050.000000,0
2018-06-04,7100.000000,7425.000000,7100.000000,7375.000000,7375.000000,40110500
2018-06-05,7450.000000,7450.000000,7275.000000,7350.000000,7350.000000,36760100
2018-06-06,7300.000000,7375.000000,7300.000000,7325.000000,7325.000000,36079300
2018-06-07,7375.000000,7400.000000,7325.000000,7375.000000,7375.000000,24893800
2018-06-08,7400.000000,7400.000000,6950.000000,6950.000000,6950.000000,67209400
2018-06-11,6950.000000,6950.000000,6950.000000,6950.000000,6950.000000,0
2018-06-12,6950.000000,6950.000000,6950.000000,6950.000000,6950.000000,0
2018-06-13,6950.000000,6950.000000,6950.000000,6950.000000,6950.000000,0
2018-06-14,6950.000000,6950.000000,6950.000000,6950.000000,6950.000000,0
2018-06-15,6950.000000,6950.000000,6950.000000,6950.000000,6950.000000,0
2018-06-18,6950.000000,6950.000000,6950.000000,6950.000000,6950.000000,0
2018-06-19,6950.000000,6950.000000,6950.000000,6950.000000,6950.000000,0
2018-06-20,6850.000000,6850.000000,6500.000000,6700.000000,6700.000000,85071200
2018-06-21,6700.000000,6775.000000,6575.000000,6700.000000,6700.000000,54824300
2018-06-22,6700.000000,6725.000000,6600.000000,6700.000000,6700.000000,45477000
2018-06-25,6750.000000,6775.000000,6575.000000,6700.000000,6700.000000,29665800
2018-06-26,6575.000000,6750.000000,6575.000000,6625.000000,6625.000000,27967800
2018-06-27,6650.000000,6700.000000,6600.000000,6600.000000,6600.000000,25574300
2018-06-28,6725.000000,6725.000000,6425.000000,6500.000000,6500.000000,54782500
2018-06-29,6750.000000,6850.000000,6600.000000,6850.000000,6850.000000,41434000
2018-07-02,6975.000000,6975.000000,6525.000000,6525.000000,6525.000000,27789900
2018-07-03,6475.000000,6575.000000,6325.000000,6325.000000,6325.000000,37143200
2018-07-04,6400.000000,6625.000000,6275.000000,6600.000000,6600.000000,27033200
2018-07-05,6500.000000,6600.000000,6350.000000,6525.000000,6525.000000,24907300
2018-07-06,6400.000000,6475.000000,6300.000000,6300.000000,6300.000000,25848200
2018-07-09,6350.000000,6525.000000,6300.000000,6425.000000,6425.000000,55841900
2018-07-10,6500.000000,6575.000000,6375.000000,6450.000000,6450.000000,43831000
