Date,Open,High,Low,Close,Adj Close,Volume
2018-02-08,23550.000000,23800.000000,23500.000000,23700.000000,23444.095703,13692200
2018-02-09,23400.000000,23725.000000,23350.000000,23575.000000,23320.445313,14215300
2018-02-12,23800.000000,23800.000000,23500.000000,23500.000000,23246.253906,7681900
2018-02-13,23800.000000,23925.000000,23750.000000,23800.000000,23543.015625,11881200
2018-02-14,23725.000000,23875.000000,23550.000000,23700.000000,23444.095703,15110600
2018-02-15,23900.000000,23925.000000,23450.000000,23450.000000,23196.794922,10591700
2018-02-16,23450.000000,23450.000000,23450.000000,23450.000000,23196.794922,0
2018-02-19,23675.000000,24250.000000,23650.000000,24250.000000,23988.156250,10037100
2018-02-20,24100.000000,24200.000000,23875.000000,24025.000000,23765.585938,6966000
2018-02-21,23950.000000,24175.000000,23725.000000,24025.000000,23765.585938,12499800
2018-02-22,24100.000000,24175.000000,23750.000000,23900.000000,23641.935547,9443400
2018-02-23,24025.000000,24475.000000,23950.000000,24250.000000,23988.156250,16446600
2018-02-26,24150.000000,24225.000000,23500.000000,23525.000000,23270.984375,17045500
2018-02-27,23725.000000,23775.000000,23300.000000,23550.000000,23295.714844,17485900
2018-02-28,23400.000000,23450.000000,23075.000000,23175.000000,22924.763672,26573800
2018-03-01,23100.000000,23225.000000,23100.000000,23175.000000,22924.763672,25094900
2018-03-02,23075.000000,23125.000000,22750.000000,22875.000000,22628.001953,30302200
2018-03-05,23150.000000,23300.000000,22875.000000,22875.000000,22628.001953,17548800
2018-03-06,23175.000000,23200.000000,22725.000000,22775.000000,22529.082031,15181400
2018-03-07,23100.000000,23150.000000,22525.000000,22600.000000,22355.970703,21230400
2018-03-08,23000.000000,23400.000000,22750.000000,23300.000000,23048.414063,20598900
2018-03-09,23300.000000,23300.000000,22975.000000,23300.000000,23048.414063,13359400
2018-03-12,23400.000000,23650.000000,23350.000000,23625.000000,23369.904297,22236100
2018-03-13,23600.000000,23700.000000,23275.000000,23450.000000,23196.794922,16128600
2018-03-14,23475.000000,23600.000000,23225.000000,23400.000000,23147.333984,10901100
2018-03-15,23400.000000,23425.000000,23250.000000,23375.000000,23122.603516,12154900
2018-03-16,23650.000000,23675.000000,23000.000000,23350.000000,23097.875000,38624400
2018-03-19,23300.000000,23375.000000,23200.000000,23350.000000,23097.875000,14840000
